id,supplement,type,name,ruby,timing,skill,dfclty,target,rng,urge,flavor,effect,ref_faq_id,ref_info_id,update,other_ver_id,rel_elois_id,type_order,urge_order
上級-悪意の伝染,上級,一般,悪意の伝染,アクイノテンセン,オートアクション,—,自動成功,シーン,視界,—,あなたの抱く悪意や絶望、悲惨な記憶などを世界に投影するEロイス。そこはあなたによって現出した凄惨な光景に埋め尽くされ、並みの精神の持ち主では近寄ることすらおぼつかない。たとえ無理に耐えようとしても、その狂気に取り込まれ、遠からずジャームと成り果てるだろう。,いつでも使用できる。このEロイスが使用されると、以降そのシーンには誰も登場できなくなる。GMは望めば特定のキャラクターのみ登場可能としてもよく、また特定の条件を満たせばこの効果が解除できるとしてもよい。,,,LM,LM-悪意の伝染,,0,0
上級-悪夢の鏡像,上級,一般,悪夢の鏡像,アクムノキョウソウ,常時,—,自動成功,自身,至近,—,あなたがオリジナルから分離した分身であることを表わすEロイス。それは肉体の一部から分化したものであったり、精神が分裂した存在であったりとさまざまだ。あるいは、どちらが本体で分身なのか、もはやわからないのかもしれない。,このEロイスを持っているジャームは、誰かの分身となる。オリジナルと同じ外見を持っていても構わないし、違う外見となってもよい。シンドロームやエフェクトなどといったデータは自由に設定してよいが、オリジナルが持っていないデータを持つことはできない。このEロイスを持っているキャラクタ一は、他のEロイスを取得、使用できない。,,,LM,LM-悪夢の鏡像,,0,0
上級-ありえざる存在,上級,一般,ありえざる存在,アリエサルソンサイ,常時,—,自動成功,自身,至近,—,肥大化したエゴが、世界の理を超えてさらなる力をあなたに与えたことを表わすEロイス。それは本来なら発現しようはずのない規格外の力である。だが、通常のレネゲイドの常識は、あなたの前では意味をなさない。なぜならあなたは、既存の世界を悪意によって壊す存在に他ならないからだ。,取得時に、あなたが所持していないシンドロームから「制限:—」のエフェクトひとつを指定する。あなたは指定したエフェクトを任意のレベルで取得する。ただし、エフェクトに記載されている最大レベルを超えて取得することはできない。このEロイスを複数取得した場合、別々のエフェクトを指定できる。,,,LM,LM-ありえざる存在,PE-奈落の修羅,0,0
上級-傲慢な理想,上級,一般,傲慢な理想,コウマンナリソウ,オートアクション,—,自動成功,自身,至近,—,あなたが傲慢で身勝手な理想を肥大化させたジャームであることを表わすEロイス。その歪んだ理想を実現するために、あなたの力は際限なく膨れあがり、最終的には世界のすべてを塗り替えてしまうだろう。,他のEロイスと同時に使用する。その効果の対象を、範囲(選択)に変更する。ただし、「対象:自身」のものには使用できない。一度に複数回使用した場合、2回なら対象をシーン(選択)に、3回ならシーンの外も含む任意の大きさに拡大できる。ステージすべて、国すべてなど、どの程度の範囲に効果をおよぼすのかはGMが決定すること。,,,LM,LM-傲慢な理想,PE-奈落の修羅,0,0
上級-孤独の叫び,上級,一般,孤独の叫び,コトクノサケヒ,オートアクション,—,自動成功,単体,視界,—,あなたが常に、身も凍る孤独感に責め苛まれているジャームであることを表わすEロイス。ゆえに、あなたは自身の存在を他者に知らしめ、たとえ無理矢理にでもその心に刻みつけずにはいられない。それこそがあなたの歪んだ存在証明なのだ。,いつでも使用できる。対象はあなたに対するロイスを即座に取得する。この時、感情の内容をGMが任意に指定してもよい。対象が新たにロイスを取得できない場合は効果がない。ただし、このEロイスの使用を宣言されてから、対象が新たなロイスを取得してロイス枠を埋めることはできないものとする。,,,LM,LM-孤独の叫び,,0,0
上級-さらなる絶望,上級,一般,さらなる絶望,サラナルセツホウ,イニシアチブプロセス,—,自動成功,自身,至近,—,いずこからともなく、さらなる戦力をその場に出現させるEロイス。あなたが内に抱える殺意が形をとってあふれ出すのか、それともあなたの狂気が他のジャームを呼び寄せるのか、いずれにしてもその光景は、あなたに敵対する者にとって新たなる絶望となるだろう。,シーン内の任意の場所に、任意のエネミーを1体、未行動で登場させる。エネミーのデータはGMが決定すること。,,,LM,LM-さらなる絶望,PE-奈落の修羅,0,0
上級-衝動侵蝕,上級,一般,衝動侵蝕,ショウトウシンショク,オートアクション,—,自動成功,シーン(選択),視界,—,あなたが内に抱え込む、抑えきれないほどの狂気が、ワーディングを通して周囲に伝染することを表わすEロイス。あなたが足を運ぶところ、人々は正気を失い、凶暴な衝動の赴くままに行動するだろう。あなたは人の形をした災厄そのものだ。,取得時に、任意の衝動ひとつを選択すること。このEロイスを使用することで、対象に衝動判定をさせることができる。この判定に失敗した場合、対象が持つ衝動ではなく、Eロイス取得時に選択した衝動が発生する。その結果どのようなことが起きるかはGMが決定すること。,,,LM,LM-衝動侵蝕,,0,0
上級-堕落の誘い,上級,一般,堕落の誘い,タラクノイサナイ,オートアクション,—,自動成功,シーン(選択),視界,—,深い絶望と虚無に染まった思念の力によって、周囲のレネゲイドを異常活性化させるEロイス。もう戻れないというあなたの諦念が、人々を巻き添えに崩壊を加速させるのだ。,衝動判定が行なわれる直前に使用する。その衝動判定に失敗したキャラクターは、侵蝕率が99%以下の場合、即座に100%となる。衝動判定による侵蝕率の上昇はその後に行なうこと。これにより、非オーヴァードがオーヴァードに覚醒したり、エキストラが即座にジャーム化するとしてもよい。このEロイスはバックトラックと経験点の計算の際、ひとつにつき2個分のEロイスとして計算する。,,,LM,LM-堕落の誘い,,0,0
上級-不滅の妄執,上級,一般,不滅の妄執,フメツノモウシュウ,常時,—,自動成功,自身,至近,—,あなたが一度死に、強大なジャームとして蘇ったことを表わすEロイス。あなたにはそうまでしてでも果たさねばならない執着や願いが存在する。その理由を暴き、あなたを現世につなぎ止める妄執を断ち切らぬ限り、あなたが真の死を迎えることはない。,あなたが戦闘不能になった、もしくは死亡した際に自動的に効果を発揮する。戦闘不能、死亡を回復する。この時、シーンから退場してもよい。GMは任意にこのEロイスの効果を解除する条件を設定すること。その条件がクリアされた場合、以後このEロイスは効果を発揮しない。必ず特定の場所で復活する、回復までに時間がかかるなど、効果に関する条件を追加で設定してもよい。,,,LM,LM-不滅の妄執,,0,0
上級-唯我独尊,上級,一般,唯我独尊,ユイカトクソン,オートアクション,—,自動成功,自身,至近,—,傲慢極まる自信や、醜悪なまでのプライドを備えたジャームであることを表わすEロイス。自分には不可能などないという強固な信念が、時空の法則すらも歪め、さらなる悪意を現出させるのだ。,「タイミング:セットアッププロセス」または「タイミング:マイナーアクション」のエフェクトまたはEロイスを使用した直後に使用する。あなたはそのタイミングに使用するエフェクトまたはEロイスを、さらにもう1回使用できる。,,,LM,LM-唯我独尊,,0,0
