id,q,a,refed_power_id,refed_weapon_id,refed_armor_id,refed_vehicle_id,refed_connection_id,refed_general_id,refed_dlois_id,refed_elois_id
0,トライブリードは、自身のシンドロームやオプショナルシンドロームの「制限:120%」のエフェクトを取得できますか？,取得可能です。,,,,,,,,
1,トライブリードは、「制限:100%」の一般エフェクトを取得できますか？,取得できません。,,,,,,,,
2,NPCの能力値を、シンドロームから算出される値よりも低く設定できますか？,GMが望むならば、可能です。,,,,,,,,
3,クリティカル値が変化するエフェクトを複数組み合わせた場合、どのように処理すればよいですか？,まず、その判定に与えるクリティカル値への修正をすべて合計してください。その後、判定に効果を発揮しているエフェクトの下限値を確認し、もっとも低いものを適用してください。,,,,,,,,
4,《コンセントレイト》4レベルを組み合わせた判定に対し、タイタスで「クリティカル値を−1する」を使用しました。この際のクリティカル値はどうなりますか？,タイタスの効果は、エフェクトによるクリティカル値が確定した後に適用してください。上記の場合、《コンセントレイト》の下限値は7ですのでクリティカル値が7。その後、タイタスの効果で1下がるので6となります。タイタスの効果によるクリティカル下限値は2ですが、それはエフェクトの組み合わせ時には適用されません。,,,,,,,,
5,エフェクトのレベルを任意に下げて使用することはできますか？,できません。ただし、エフェクトの効果でレベルを下げることができる場合、その限りではありません。,,,,,,,,
6,「射程:—」のエフェクトのみを組み合わせた場合、射程はどうなりますか？,至近となります。,,,,,,,,
7,武器を使用した攻撃に「射程:—」のエフェクトのみを組み合わせた場合、射程はどうなりますか？,使用した武器の射程となります。,,,,,,,,
8,「攻撃のダイスに+●個」とあるエフェクトは、ダメージロールにもダイスを追加しますか？,組み合わせた攻撃の命中判定のみに適用してください。マイナスの場合も同じです。,,,,,,,,
9,エフェクトを組み合わせた場合、効果を適用する順番はどうなりますか？,順番が必要な場合、使用者の任意の順番で適用してください。たとえば《完全獣化》と《究極獣化》を組み合わせることも可能です。,,,,,,,,
10,《大地の牙》と《ナーブジャック》のように、リアクションが異なるエフェクトを組み合わせた場合、どのようにリアクションを行なえばよいですか？,リアクションを行なうキャラクターがどちらかを選択し、1回だけリアクションを行なってください。リアクション側が対決に勝利すれば、組み合わせたエフェクトすべての効果を受けなかったことになります。質問の例の場合、《大地の牙》による攻撃は命中せず、《ナーブジャック》の効果も受けません。,,,,,,,,
11,《風の運び手》や《要の陣形》のように対象が「対象:n体」となるエフェクトを組み合わせた場合、かならずn体の対象を選択しなければなりませんか？,n体以下の対象を選択してかまいません。,基本1-風の渡し手 基本1-要の陣形 基本2-異形の祭典 IC-スプリットアタック RU-弧状の雷 RU-ヴァイタルボルト EA-異形の祭典 EA-風の渡し手 EA-スプリットアタック EA-要の陣形 HR-戦場の魔術師 RW-ワンショットツーキル RW-流刑者の大鎌 UA-メニーブランチ,,,,,,,
12,《風の運び手》や《要の陣形》のように対象が「対象:n体」となるエフェクトを複数組み合わせた場合、対象の数は合計されますか？,合計されません。組み合わせた際に、nがもっとも少ない「対象:n体」を適用してください。,基本1-風の渡し手 基本1-要の陣形 基本2-異形の祭典 IC-スプリットアタック RU-弧状の雷 RU-ヴァイタルボルト EA-異形の祭典 EA-風の渡し手 EA-スプリットアタック EA-要の陣形 HR-戦場の魔術師 RW-ワンショットツーキル RW-流刑者の大鎌 UA-メニーブランチ,,,,,,,
13,《幻惑の光》のように攻撃力のない攻撃を行なうエフェクトと《主の右腕》のように攻撃力を上昇させるエフェクトを組み合わせた場合、ダメージを与えることができるようになりますか？,できません。武器を使用せず、攻撃力のないエフェクトのみで攻撃を行なう場合、ダメージを与えることはできません。ダメージを与えたい場合、《光の弓》のように攻撃力の設定されたエフェクトを組み合わせてください。武器を使用した攻撃の場合は、攻撃力のないエフェクトのみを組み合わせてもダメージを与えることは可能です。,,,,,,,,
14,《光の手》や《コントロールソート》のように技能判定で使用する能力値が変更された場合、「技能:【精神】」のような、変更後の能力値を指定しているエフェクトは組み合わせることができますか？,可能です。,,,,,,,,
15,《光の手》や《コントロールソート》のように技能判定で使用する能力値が変更された場合、「技能:【肉体】」のような、変更前の能力値を指定しているエフェクトは組み合わせることができますか？,できません。,,,,,,,,
16,《氷壁》や《守りの弾》など、攻撃を失敗させる効果のエフェクトを使用する際、《冷気の鎌》のようなドッジやリアクションに修正を与える効果を受けますか？,受けません。,基本1-束縛の領域 基本1-氷壁 基本2-守りの弾 EA-守りの弾 EA-束縛の領域 EA-氷壁,,,,,,,
17,《暗黒螺旋》や《歪みの領域》のように「ガードをした際にHPダメージを与える」エフェクトを使用し、攻撃を行なったキャラクターのHPが0になる場合、どのように処理しますか？,攻撃は命中したものとしてダメージを算出してください。攻撃のダメージと《暗黒螺旋》などのガードを行なう際にダメージを与えるエフェクトの効果は同時に適用されるものとします。,基本1-蒼き悪魔 基本2-暗黒螺旋 基本2-自動触手 基本2-歪みの領域 IC-スタンシールド RU-棘の獣身 EA-暗黒螺旋 EA-スタンシールド EA-自動触手 EA-歪みの領域 EA-蒼き悪魔,,,,,,,
18,バッドステータスの邪毒を与えるエフェクトを複数組み合わせた場合、ランクは合計されますか？,合計しません。もっともランクの高い邪毒ひとつのみを適用し、他は無視してください。,,,,,,,,
19,《ハンティングスタイル》のように、「移動中に他のエンゲージに接触しても移動を終える必要は無い」と書かれたエフェクトを使用して、エンゲージから離脱した後、別のエンゲージに直接移動することは可能ですか？,「移動中に他のエンゲージに接触しても移動を終える必要は無い」と書かれたエフェクトを使用すれば、エンゲージからエンゲージへの移動が可能であるものとします。,基本1-光芒の疾走 基本1-ハンティングスタイル 基本2-影走り IC-従者の疾駆 EA-光芒の疾走 EA-従者の疾駆 EA-ハンティングスタイル EA-影走り HR-ロケッティア UA-狼の魔剣,,,,,,,
20,《虚空の陥穽》や《妖の招き》のように、「あなたのいるエンゲージへ移動させる」効果のエフェクトは、移動は離脱となりますか？,《虚空の陥穽》や《妖の招き》による移動は離脱ではないものとします。封鎖の影響も受けません。,基本2-虚空の陥穽 基本2-妖の招き IC-マグネットムーヴ EA-虚空の陥穽 EA-マグネットムーブ EA-妖の招き UA-リーシュチェイン,,,,,,,
21,《ポイズンフォッグ》のように射程が至近に変更するエフェクトと、《タブレット》のように射程を視界に変更するエフェクトを組み合わせた場合、射程はどうなりますか？,エフェクトの適用順番によって射程が変更されます。《タブレット》を先に適用し、後から《ポイズンフォッグ》を適用する場合は「射程:至近」に、逆であれば「射程:視界」になります。どちらを先に適用するかはエフェクトの使用者が選択してください。,,,,,,,,
22,素手を装備している際に《飛礫》《インスタントボム》のようなエフェクトで攻撃した場合、その攻撃は素手によるものとして扱いますか？,素手としては扱いません。「武器の攻撃力は加算できない」とあるものは、素手を含むあらゆる武器を使用していないものとして扱います。,基本2-飛礫 基本2-死神の針 基本2-インスタントボム EA-飛礫 EA-死神の針 EA-インスタントボム BC-即席武器 UA-神討つ鎧 UA-神の鉄槌,,,,,,,
23,《死神の針》《インスタントボム》のように、武器を使用しないエフェクトと「射程:武器」のエフェクトを組み合わせた場合、射程はどうなりますか？,《死神の針》のような攻撃力を算出するエフェクトの射程を、武器の射程であるものとしてください。,基本2-ウルトラボンバー 基本2-死神の針 基本2-インスタントボム 基本2-痛みの水 EA-ウルトラボンバー EA-死神の針 EA-インスタントボム EA-痛みの水 BC-即席武器 UA-神討つ鎧 UA-神の鉄槌,,,,,,,
24,《ライトスピード》のように、1回のメインプロセスに複数のメジャーアクションを行なう場合、《電光石火》のように、メインプロセスの終了時にHPを失う効果はどのように適用しますか？,メインプロセスの終了時に、1回だけ適用してください。,基本2-ライトスピード 上級-セレリティ EA-ライトスピード LM-セレリティ RW-巨獣の爪牙 BC-追撃の魔弾 UA-多段攻撃,,,,,,,
25,《デビルストリング》《ゴッドウインド》のような、エフェクトを打ち消す効果で、組み合わせた判定すべてを打ち消すことはできますか？,打ち消すことができるエフェクトは、ひとつまでです。,基本2-デビルストリング IC-ゴッドウィンド IC-ミスリード IC-レネゲイドディゾルバー RU-マリシャスブラッド RU-殺戮の因子 EA-デビルストリング EA-ゴッドウィンド EA-ミスリード EA-レネゲイドディゾルバー,,,,,,,
26,《一閃》のように移動を行なうエフェクトを使用した際、移動する距離を0mにすることはできますか？,可能です。ただし、移動の距離を0mにした場合、移動しなかったものとして扱います。,,,,,,,,
27,《オーバーロード》と《デトネイトモード》を同じ武器に使用した場合、どのような処理になりますか？,武器の攻撃力を三倍として処理をしてください。片方の効果で二倍、それをさらに二倍して四倍という計算にはならないことに注意してください。攻撃後、武器が破壊されることは変わりません。,基本2-オーバーロード RU-デトネイトモード EA-オーバーロード UA-ファイナルストライク,,,,,,,
28,《ブラッドボム》などのダメージを与えたことで、対象のHPをさらに失わせるエフェクトでは、HPダメージの適用が終わった後でHPを失う効果が発生するのでしょうか？,そうなります。この際、HPダメージの適用でHPが0となって戦闘不能となった場合、まずそこで《リザレクト》などの戦闘不能を回復するエフェクトを使用するかを確認します。その後、HPを失う効果を解決してください。,IC-ブラッドボム EA-ブラッドボム,,,,,,,
29,憎悪のアージエフェクトの《ブラッドエンゲージ》や《支配者の呪詛》は、対象へのロイスがタイタスとなっている場合にも効果を受けることはできますか？,できます。,RU-ブラッドエンゲージ RU-支配者の呪詛,,,,,,,
30,《終末の炎》のようにその効果でHPを消費するエフェクトでは、消費するHPを0点として使用することはできますか？,できません。そのようなエフェクトを組み合わせる場合、HPを最低1点は消費してください。もし、1点も消費することができない場合、そのようなエフェクトを宣言することはできません。,基本1-赫き剣 基本1-終末の炎 基本2-赫き鎧 RU-生命の追い風 EA-縮退機関 EA-赫き剣 EA-赫き鎧 EA-終末の炎 EA-ブラッドコート IA-赫き鎧 RW-鮮血の奏者 RW-怒涛の旋風 UA-斬命剣 UA-赫き重刃,,,,,,,
31,エフェクトで作成したアイテムを、装備せずに所持品としておくことはできますか？,可能です。,,,,,,,,
32,効果が持続しているエフェクトを使用した後、そのエフェクトのレベルが侵蝕率や他のエフェクトの効果で変更された場合、どうなりますか？,変更後のレベルで、持続しているエフェクトの効果を算出し直してください。,,,,,,,,
33,《エンジェルヴォイス》や《アドヴァイス》のように「次のメジャーアクションの判定」に効果があるエフェクトを適用されているキャラクターが、そのメジャーアクションで判定を行なわなかった場合、《エンジェルヴォイス》などの効果は失われますか？,失われます。,基本1-エンジェルヴォイス 基本1-声援 基本1-導きの華 基本1-狂戦士 基本2-解放の雷 基本2-戦乙女の導き 上級-バーストアップ RU-恐怖の加護 EA-イルミネイト EA-解放の雷 EA-支援する人形 EA-エンジェルヴォイス EA-声援 EA-仮初の器 EA-導きの華 EA-領域の加護 EA-戦乙女の導き EA-狂戦士 LM-バーストアップ HR-光射す場所 RW-天使の階梯 UA-トップオブワールド UA-啓示の鎖 UA-叡智のビジョン,,,,,,,
34,《全知の欠片》で、《極大消滅波》《黒星粉砕》のように、命中判定が存在しないエフェクトにドッジが行なえますか？,「難易度:自動成功」のエフェクトに対して、《全知の欠片》は使用できないものとします。,IC-全知の欠片 EA-全知の欠片,,,,,,,
35,《魔弾の射手》で、装備している「種別:射撃」の武器の攻撃力を足すことはできますか？,できません。選択した「種別:白兵」の武器の攻撃力のみを使用してください。,基本2-魔弾の射手 EA-魔弾の射手,,,,,,,
36,《魔弾の射手》をノイマンの《マルチウェポン》と組み合わせることはできますか？,《魔弾の射手》と《マルチウェポン》は、組み合わせて使用してもどちらかひとつしか適用できないものとします。,基本1-マルチウェポン 基本2-魔弾の射手 EA-魔弾の射手 EA-マルチウェポン,,,,,,,
37,《魔弾の射手》で選択した武器に何か効果がある場合、その効果を使用できますか？,《魔弾の射手》で選択した武器すべての効果を適用してください。回数制限や、「同じエンゲージのキャラクターを攻撃できない」のような効果も適用されることに注意してください。たとえば、回数制限が0回となった武器は使用できません。,基本2-魔弾の射手 EA-魔弾の射手,,,,,,,
38,《冥界の檻》を[離脱]に使用できますか？,できます。,基本1-冥界の檻,,,,,,,
39,HPが20以下のキャラクターが、《時間凍結》は使用できますか？,使用後にHPが0以下になる場合、《時間凍結》は使用できません。,基本1-時間凍結,,,,,,,
40,《ポルターガイスト》で、回数制限が0回となっているアイテムを選択できますか。,選択できないものとします。,基本2-ポルターガイスト EA-ポルターガイスト,,,,,,,
41,《ポルターガイスト》で選択した武器に何か効果がある場合、その効果を使用できますか？,使用できません。,基本2-ポルターガイスト EA-ポルターガイスト,,,,,,,
42,《渇きの主》を組み合わせた攻撃で複数のキャラクターを対象とした場合、HPの回復量は人数分増えますか？,増えません。《渇きの主》を組み合わせた攻撃で何体を攻撃しようと、回復するHPは[LV×4]点のみとなります。,基本1-渇きの主 EA-渇きの主,,,,,,,
43,《渇きの主》を組み合わせた攻撃が命中した場合、いつHPが回復しますか？,攻撃が命中した時点、ダメージロールの直前で回復するものとします。,基本1-渇きの主 EA-渇きの主,,,,,,,
44,《赤色の従者》で従者を作成した後、作成者の《赤色の従者》のレベルが上昇した場合、従者のHPは変更されますか？,すでに作成されている従者の現在のHPは変更されません。,基本2-赤色の従者 EA-赤色の従者,,,,,,,
45,従者を作り出す際に、《愚者の兵装》で取得したアイテムを装備した状態で作成できますか？,可能です。,基本2-愚者の兵装 EA-愚者の兵装,,,,,,,
46,《赤色の従者》の作成者が《ペインエディター》のような「タイミング:常時」のエフェクトを取得していた場合、従者も「タイミング:常時」のエフェクトの効果を適用しますか。,適用します。「タイミング:常時」のエフェクトによって最大HPや能力値などが変更される場合、再計算してください。,基本2-赤色の従者 EA-赤色の従者,,,,,,,
47,《血の絆》でシナリオ終了まで存在する従者をシーンに登場させるには、どうすればよいですか。,作成者と一緒にシーンへ登場させてください。GMは従者のみをシーンに登場させることを認めてもかまいません。その場合、作成者がシーンに登場した場合と同じように、作成者の侵蝕率を上昇させてください。,基本2-血の絆 EA-血の絆,,,,,,,
48,《赤色の従者》の作成者が取得しているDロイスの効果は、従者にも適用できますか？,従者に適用してかまいません。また、その効果を従者が使用することも可能です。ただし「制限:Dロイス」と書かれたエフェクトは従者が取得することはできません。,基本2-赤色の従者 EA-赤色の従者,,,,,,,
49,《赤色の従者》の作成者が取得している「制限:RB」のエフェクトを、従者も取得できますか？,できます。,基本2-赤色の従者 EA-赤色の従者,,,,,,,
50,《血の戦馬》を使用した場合、《愚者の兵装》で取得しているアイテムを、作成者が装備したり、使用したりすることができますか？,可能です。,基本2-愚者の兵装 基本2-血の戦馬 EA-愚者の兵装 EA-血の戦馬,,,,,,,
51,《血の戦馬》を使用した場合、《愚者の兵装》で取得しているアイテムを、作成者はどのように装備すればよいですか？,《血の戦馬》を使用した際、装備してください。また、アクションを使用して装備を変更してもかまいません。,基本2-愚者の兵装 基本2-血の戦馬 EA-愚者の兵装 EA-血の戦馬,,,,,,,
52,《血の戦馬》を使用した作成者が、従者専用アイテム「従者の選別」の効果によって能力値が変化した場合、HP最大値や行動値などの副能力値も変化しますか？,変更されます。ただし、現在のHPと常備化ポイント、財産ポイントは変更されないこととします。,基本2-愚者の兵装 基本2-血の戦馬 EA-愚者の兵装 EA-血の戦馬,,,,,,,
53,作成者が取得しているエンブレムデータを従者が使用できますか？,従者が《智恵あるもの》を取得している場合、使用できます。ただし、作成者が自身の従者にエンブレムデータのアイテムを渡す必要があります。,基本2-赤色の従者 基本2-知恵あるもの EA-赤色の従者 EA-知恵あるもの,,,,,,,
54,《完全獣化》を使用した場合、すでに装備している武器や防具はどうなりますか？,《完全獣化》を使用したキャラクターの所持品となります。,基本1-完全獣化 EA-完全獣化,,,,,,,
55,攻撃に《復讐の刃》を使用した際、攻撃でHPが0となった場合、《復讐の刃》による攻撃は行なえますか？,可能です。攻撃のダメージと《復讐の刃》のダメージは同時に適用されるものとします。,基本2-復讐の刃 EA-復讐の刃,,,,,,,
56,《獣の王》を組み合わせた攻撃に、《氷壁》は使用できますか？,使用できます。,基本2-獣の王 EA-獣の王,,,,,,,
57,バッドステータスの暴走を受けているキャラクターが、《復讐の刃》を使用できますか？,できません。暴走したキャラクターは、《復讐の刃》の効果で放棄する必要があるリアクションが行なえないためです。,基本2-復讐の刃 EA-復讐の刃,,,,,,,
58,《フルパワーアタック》と《加速装置》のような行動値を上昇させるエフェクトを組み合わせた場合、【行動値】はどうなりますか？,本来はエフェクトの適用順番によって効果が異なりますが、《フルパワーアタック》による【行動値】への修正は他のエフェクトよりも優先されるので0になります。,基本1-フルパワーアタック EA-フルパワーアタック RW-雷神の降臨 UA-マグネットジェイル,,,,,,,
59,《フルパワーアタック》で【行動値】が0となったキャラクターの、戦闘移動で移動できる距離はどうなりますか？,5mとなります。,基本1-フルパワーアタック EA-フルパワーアタック,,,,,,,
60,《イージスの盾》のような使用回数のない「タイミング:オートアクション」のエフェクトに、《デビルストリング》を使用した場合、《デビルストリング》を使用されたキャラクターは再度《イージスの盾》を使用できますか？,できません。打ち消されたエフェクトは、同じタイミングでは再度使用できないものとします。,基本2-デビルストリング IC-ゴッドウィンド IC-ミスリード IC-否定のひと触れ IC-レネゲイドディゾルバー RU-嫌悪の重荷 RU-マリシャスブラッド RU-殺戮の因子 EA-デビルストリング EA-ゴッドウィンド EA-ミスリード EA-否定のひと触れ EA-レネゲイドディゾルバー,,,,,,,
61,《異形の祭典》を、攻撃を行なわないエフェクトと組み合わせることはできますか？,できません。,基本2-異形の祭典 EA-異形の祭典,,,,,,,
62,《ヒュドラの怒り》を使用したキャラクターが「アージエフェクト:自傷」のエフェクトを取得していた場合、暴走の処理はどうなりますか？,エフェクトを使用した際に変異暴走の効果を適用し、バッドステータスの暴走を回復してください。,IC-ヒュドラの怒り EA-ヒュドラの怒り,,,,,,,
63,使用者が取得している「制限:n%」のエフェクトを、《融合》の対象に使用させることはできますか。,《融合》の対象の侵蝕率がn%以上であれば、使用可能とします。,基本2-融合 EA-融合,,,,,,,
