id,supplement,category,name,ruby,type,procure,procure_int,stock,stock_int,exp,exp_int,rec,flavor,effect,price,rec_effect,ref_weapon_id,ref_faq_id,ref_info_id,update,other_ver_id,rel_power_id,rel_weapon_id,rel_armor_id,rel_vehicle_id,rel_connection_id,rel_general_id,rel_dlois_id,type_order,cost_order
基本1-カジュアル,基本1,ジェネラルアイテム,カジュアル,カシュアル,一般,2,2,0,0,,,,街で簡単に入手できる衣服。トレーナー、Tシャツ、ジーパンなど。,,,,,,,IA,IA-カジュアル,,,,,,,,0,0
基本1-携帯電話,基本1,ジェネラルアイテム,携帯電話,ケイタイテンワ,一般,3,3,0,0,,,,携帯電話。シンプルでも多機能でも、どちらでもよい。,,,,,,,IA,IA-携帯電話,,,,,,,,0,0
基本1-アクセサリー,基本1,ジェネラルアイテム,アクセサリー,アクセサリー,一般,3,3,0,0,,,,サングラス、腕時計、指輪、ネックレスなどの、ちょっとした装飾品。,,,,,,,IA,IA-アクセサリー,,,,,,,,0,0
基本1-制服,基本1,ジェネラルアイテム,制服,セイフク,一般,7,7,0,0,,,,諸々の制服。ほとんどの場合、組織が用意してくれるので、常備化するものは個人的な趣味。,,,,,,,IA,IA-制服,,,,,,,,0,0
基本1-フォーマル,基本1,ジェネラルアイテム,フォーマル,フォーマル,一般,5,5,0,0,,,,高級百貨店や仕立て屋で作ってもらうフォーマルな衣服。タキシードやドレスなど。,,,,,,,IA,IA-フォーマル,,,,,,,,0,0
基本1-ウェポンケース,基本1,ジェネラルアイテム,ウェポンケース,ウェホンケース,一般,18,18,1,1,,,,UGNが作ったアイテムケース。,武器、防具からひとつを選択する。選択した武器、防具はオートアクションで装備できるようになる。,,,,101,,IA,IA-ウェポンケース,,,,,,,,0,1
基本1-思い出の一品,基本1,ジェネラルアイテム,思い出の一品,オモイテノヒトシナ,一般,購入不可,,2,2,,,,形見のライター、先輩の第2ボタンなど。,あなたが行なう〈意志〉の判定の達成値に+1する。,,,,,,IA,IA-思い出の一品,,,,,,,,0,2
基本1-サーチレーダー,基本1,ジェネラルアイテム,サーチレーダー,サーチレーター,一般,購入不可,,2,2,,,,電磁波によって周囲の存在を探知する装置。サイズは携帯電話ほど。,あなたが行なう〈知覚〉判定の達成値に+1する。,,,,,,IA,IA-サーチレーダー,,,,,,,,0,2
基本1-専門書,基本1,ジェネラルアイテム,専門書,センモンショ,一般,購入不可,,2,2,,,,ある分野の知識について纏められた専門書。,取得時に〈知識:~~〉からひとつを選択する。あなたが行なう選択した〈知識:~~〉判定の達成値に+1する。「専門書:~~」のように記述し、選択した〈知識~~〉ごとに別のアイテムとして扱う。,,,,,,IA,IA-専門書,,,,,,,,0,2
基本1-解毒剤,基本1,ジェネラルアイテム,解毒剤,ケトクサイ,使い捨て,6,6,2,2,,,,毒を無効化する薬。,メジャーアクションで使用することで、あなたが受けている邪毒を回復する。,,,,,,IA,IA-解毒剤,,,,,,,,1,2
