id,supplement,category,type,name,ruby,maxlv,maxlv_int,timing,skill,dfclty,target,rng,encroach,encroach_int,restrict,premise,flavor,effect,ref_weapon_id,ref_armor_id,ref_faq_id,ref_info_id,update,other_ver_id,rel_power_id,rel_weapon_id,rel_armor_id,rel_vehicle_id,rel_connection_id,rel_general_id,rel_dlois_id,type_restrict_order
基本1-神の眼,基本1,エンジェルハィロゥ,一般,神の眼,カミノメ,1,1,リアクション,〈知覚〉,対決,自身,至近,2,2,—,,全知覚を使って攻撃を避けるエフェクト。,このエフェクトを組み合わせた判定で、あなたはドッジを行なえる。,,,,,EA,EA-神の眼,,,,,,,,0
基本1-幻惑の光,基本1,エンジェルハィロゥ,一般,幻惑の光,ケンワクノヒカリ,1,1,メジャーアクション,〈RC〉,対決,—,視界,2,2,—,,光の信号によって、運動能力を低下させる催眠術をかけるエフェクト。,射撃攻撃を行なう。命中した場合、対象にバッドステータスの放心を与える。,,,,,EA,EA-幻惑の光,,,,,,,,0
基本1-光芒の疾走,基本1,エンジェルハィロゥ,一般,光芒の疾走,コウホウノシッソウ,3,3,マイナーアクション,—,自動成功,自身,至近,1,1,—,,弱い光によって目くらましをかけ、その隙に移動するエフェクト。,あなたは戦闘移動を行なう。この移動では、離脱を行なえる。また、移動中に他のエンゲージに接触しても移動を終える必要はなく、封鎖の影響も受けない。このエフェクトは1シーンにLV回まで使用できる。,,,19,,EA,EA-光芒の疾走,,,,,,,,0
基本1-主の恩恵,基本1,エンジェルハィロゥ,一般,主の恩恵,シュノオンケイ,3,3,マイナーアクション,—,自動成功,自身,至近,2,2,—,,体内に光を集め、次に発生させる光を増幅するエフェクト。,そのメインプロセスの間、あなたが行なうエンジェルハィロゥのエフェクトを組み合わせた判定のダイスを+LV個する。,,,,,EA,EA-主の恩恵,,,,,,,,0
基本1-主の右腕,基本1,エンジェルハィロゥ,一般,主の右腕,シュノミキウテ,5,5,メジャーアクション,シンドローム,対決,—,—,2,2,—,,相手のもっとも弱い部分を見抜き、正確に攻撃するエフェクト。,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,,,,,EA,EA-主の右腕,,,,,,,,0
基本1-水晶の眼,基本1,エンジェルハィロゥ,一般,水晶の眼,スイショウノメ,3,3,メジャーアクション/リアクション,〈知覚〉,—,—,—,2,2,—,,遠くの風景を蜃気楼のように眼前に投影するエフェクト。,このエフェクトを組み合わせた判定のダイスを+LV個する。,,,,,EA,EA-水晶の眼,,,,,,,,0
基本1-スターダストレイン,基本1,エンジェルハィロゥ,一般,スターダストレイン,スタータストレイン,3,3,メジャーアクション,〈RC〉,対決,シーン(選択),視界,6,6,—,,レーザー光線を乱射するエフェクト。,このエフェクトを組み合わせた射撃攻撃の対象をシーン(選択)に、射程を視界に変更する。ただし、その攻撃の攻撃力を−[20−LV×5](最大0)する。このエフェクトは1シナリオに1回まで使用できる。,,,,,EA,EA-スターダストレイン,,,,,,,,0
基本1-絶対の孤独,基本1,エンジェルハィロゥ,一般,絶対の孤独,セッタイノコトク,3,3,メジャーアクション,〈RC〉,対決,単体,視界,3,3,—,,光を遮断して闇を作り、行動を阻害するエフェクト。,射撃攻撃を行なう。命中した場合、そのラウンドの間、対象が行なうあらゆる判定のダイスを−[LV+1]個する。,,,,,EA,EA-絶対の孤独,,,,,,,,0
基本1-小さな塵,基本1,エンジェルハィロゥ,一般,小さな塵,チイサナチリ,5,5,メジャーアクション,〈射撃〉,対決,—,武器,2,2,—,,精密射撃を行なえるように、知覚能力を強化するエフェクト。,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,,,,,EA,EA-小さな塵,,,,,,,,0
基本1-光の弓,基本1,エンジェルハィロゥ,一般,光の弓,ヒカリノユミ,10,10,メジャーアクション,〈RC〉,対決,—,視界,1,1,—,,光を一点に収束し、解き放つことで熱衝撃波を発生させるエフェクト。,「攻撃力:+[LV+2]」の射撃攻撃を行なう。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。,,,,,EA,EA-光の弓,,,,,,,,0
基本1-ピンポイントレーザー,基本1,エンジェルハィロゥ,一般,ピンポイントレーザー,ヒンホイントレーサー,5,5,メジャーアクション,シンドローム,対決,—,—,2,2,—,,装甲の隙間を見抜き、撃ち抜くエフェクト。,このエフェクトを組み合わせた攻撃では、対象の装甲値を無視してダメージを算出する。ただし、その攻撃の攻撃力を−[5−LV](最大0)すること。,,,,,EA,EA-ピンポイントレーザー,,,,,,,,0
基本1-光の衣,基本1,エンジェルハィロゥ,一般,光の衣,ヒカリノコロモ,3,3,マイナーアクション,—,自動成功,自身,至近,4,4,80%,,光の屈折率を変化させて、銃弾やみずからの姿などを隠すエフェクト。,そのメインプロセスの間、あなたが行なうメジャーアクションに対するリアクションは、クリティカル値が+1される。このエフェクトは1シナリオにLV回まで使用できる。,,,,,EA,EA-光の衣,,,,,,,,1
基本1-マスヴィジョン,基本1,エンジェルハィロゥ,一般,マスヴィジョン,マスウィション,3,3,メジャーアクション,シンドローム,対決,—,—,4,4,100%,,残像を複数作り出し、一斉攻撃を行なうエフェクト。,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×5]する、このエフェクトは1シナリオに3回まで使用できる。,,,,,EA,EA-マスヴィジョン,,,,,,,,2
基本1-光の守護,基本1,エンジェルハィロゥ,一般,光の守護,ヒカリノシュコ,1,1,オートアクション,—,自動成功,自身,至近,4D10,40,120%,,光を集め、攻撃を受ける直前に残像と入れ替わるエフェクト。,あなたにHPダメージを適用する直前に使用する。そのHPダメージを0にする。このエフェクトは1シナリオに1回まで使用できる。,,,,,EA,EA-光の守護,,,,,,,,3
基本1-光の裁き,基本1,エンジェルハィロゥ,一般,光の裁き,ヒカリノサハキ,3,3,メジャーアクション,シンドローム,対決,単体,—,5,5,ピュアブリード,,周囲を埋め尽くす光をもって、敵に回避不可能の一撃を撃つエフェクト。,このエフェクトを組み合わせた射撃攻撃は判定のダイスを+[LV×2]個し、また攻撃のリアクションでドッジを選択することができない。このエフェクトは1シナリオに1回まで使用でき、攻撃の対象は単体でなければならない。,,,,,EA,EA-光の裁き,,,,,,,,5
基本1-因果歪曲,基本1,バロール,一般,因果歪曲,インカワイキョク,3,3,メジャーアクション,シンドローム,—,範囲(選択),—,3,3,—,,物理法則をねじ曲げて、効果を拡大するエフェクト。,このエフェクトを組み合わせたエフェクトの対象を範囲(選択)に変更する。ただし、この効果を受けたエフェクトでは、あなたと同じエンゲージにいるキャラクターを対象にできない。このエフェクトは1シナリオにLV回まで使用できる。,,,,,EA,EA-因果歪曲,,,,,,,,0
基本1-巨人の斧,基本1,バロール,一般,巨人の斧,キョシンノオノ,3,3,メジャーアクション,〈白兵〉〈射撃〉,対決,—,武器,3,3,—,,重力を操作することで、武器の見かけの重量を増大させ、攻撃力を増すエフェクト。,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×3]する。ただし、このエフェクトを組み合わせた攻撃の判定のダイスを−2個する。,,,,,EA,EA-巨人の斧,,,,,,,上級-邪眼,0
基本1-黒の鉄槌,基本1,バロール,一般,黒の鉄槌,クロノテッツイ,5,5,メジャーアクション,〈RC〉,対決,—,視界,1,1,—,,局所的に重力を発生させ、敵を押し潰すエフェクト。犠牲者の身体は見るも無惨に圧壊する。,「攻撃力:+[LV×2+2]」の射撃攻撃を行なう。この攻撃では、あなたと同じエンゲージにいるキャラクターを対象にできない。,,,,,EA,EA-黒の鉄槌,,,,,,,上級-邪眼,0
基本1-孤独の魔眼,基本1,バロール,一般,孤独の魔眼,コトクノマカン,3,3,オートアクション,—,自動成功,効果参照,視界,4,4,—,,重力を制御し、攻撃を自分に引き寄せるエフェクト。,あなたを対象に含む「対象:範囲」または「対象:範囲(選択)」の攻撃の判定が行なわれる直前に使用する。その攻撃の対象をあなたひとりに変更する。ただし、その攻撃であなたはカバーリングの対象にならない。このエフェクトは1シナリオにLV回まで使用できる。,,,,,EA,EA-孤独の魔眼,,,,,,,,0
基本1-漆黒の拳,基本1,バロール,一般,漆黒の拳,シッコクノコフシ,10,10,メジャーアクション,〈白兵〉,対決,単体,武器,3,3,—,,重力の塊を、自分の手で直接敵にぶつけるエフェクト。いかなる装甲も、暗黒の重力塊には無力だ。,素手による白兵攻撃を行なう。このエフェクトを組み合わせた攻撃の攻撃力を+LVし、さらに対象の装甲値を無視してダメージを算出する。,,,,,EA,EA-漆黒の拳,,基本1-素手,,,,,上級-邪眼,0
基本1-斥力障壁,基本1,バロール,一般,斥力障壁,セキリョクショウヘキ,5,5,オートアクション,—,自動成功,単体,視界,2,2,—,,対象の周囲を斥力場で覆い、攻撃から守るエフェクト。,対象にHPダメージが適用される直前に使用する。対象が受ける(予定)ダメージを−[1D+LV×2]する。このエフェクトは1ラウンドに1回まで使用できる。,,,,,EA,EA-斥力障壁,,,,,,,,0
基本1-斥力跳躍,基本1,バロール,一般,斥力跳躍,セキリョクチョウヤク,5,5,マイナーアクション,—,自動成功,自身,至近,1,1,—,,斥力を瞬間的に発生させ、その反発力でジャンプするエフェクト。,飛行状態で戦闘移動を行なう。その際、移動距離を+[LV×5]mする。,,,,,EA,EA-斥力跳躍,,,,,,,,0
基本1-ダークマター,基本1,バロール,一般,ダークマター,タークマター,3,3,マイナーアクション,—,自動成功,自身,至近,2,2,—,,“魔眼”に意識を集中し、力を操るための準備をするエフェクト。,そのメインプロセスの間、バロールのエフェクトを組み合わせた判定のダイスを+LV個する。,,,,,EA,EA-ダークマター,,,,,,,,0
基本1-灰色の庭,基本1,バロール,一般,灰色の庭,ハイイロノニワ,3,3,セットアッププロセス,—,自動成功,単体,視界,2,2,—,,敵の“重さ”を増加させ、素早さを下げるエフェクト。重力と事象を支配するあなたの前では、誰であれその実力を発揮することはできない。,そのラウンドの間、対象の【行動値】を−[LV×3]する。,,,,,EA,EA-灰色の庭,,,,,,,,0
基本1-魔王の理,基本1,バロール,一般,魔王の理,マオウノコトワリ,5,5,メジャーアクション,シンドローム,対決,—,—,2,2,—,,重力のコントロールに長けていることを表わすエフェクト。あなたの力は空間を歪め、宇宙の法則さえもかき乱す。,このエフェクトを組み合わせた攻撃の攻撃力を+[LV×2]する。,,,,,EA,EA-魔王の理,,,,,,,,0
基本1-冥界の檻,基本1,バロール,一般,冥界の檻,メイカイノオリ,5,5,オートアクション,〈RC〉,対決,単体,視界,5,5,—,,敵に高重力をかけて、その移動を止めるエフェクト。,対象が戦闘移動、全力移動を宣言した際に宣言する。対象に射撃攻撃を行なうこと。命中した場合、対象の移動を失敗させる。この判定に、あなたはダイスを+LV個する。このエフェクトはカバーリングされることはなく、1シーンに1回まで使用できる。,,,38,,EA,EA-冥界の檻,,,,,,,,0
基本1-時間凍結,基本1,バロール,一般,時間凍結,シカントウケツ,1,1,イニシアチブプロセス,—,自動成功,自身,至近,5,5,80%,,時間凍結領域を作り出すエフェクト。,あなたはイニシアチブプロセスでメインプロセスを行なえる。また、このメインプロセスは行動済みでも行なえ、行なっても行動済みにならない。ただし、このメインプロセスの後あなたはHPを20点失う。このエフェクトは1シナリオ1回まで使用できる。このエフェクトは他のエフェクトと組み合わせて使用できない。,,,39,,EA,EA-時間凍結,,,,,,,,1
基本1-時の棺,基本1,バロール,一般,時の棺,トキノヒツキ,1,1,オートアクション,—,自動成功,単体,視界,10,10,100%,,一瞬だけ時間を止め、相手の行動を阻害するエフェクト。たとえ刹那であっても、時間停止という奇跡はあなたに大いなる勝機をもたらす。,相手が判定を行なう直前に使用する。その判定は失敗となる。「難易度:自動成功」のような、判定を行なわないものには使用できない。このエフェクトは1シナリオに1回まで使用できる。,,,,,EA,EA-時の棺,,,,,,,,2
基本1-黒星招来,基本1,バロール,一般,黒星招来,コクセイショウライ,1,1,オートアクション,—,自動成功,自身,至近,4D10,40,120%,,ブラックホールを形成し、敵の攻撃をすべて飲み込むエフェクト。黒き星の輝きの前に、何人たりともあなたを傷つけることはできない。,あなたにHPダメージを適用する直前に使用する。そのHPダメージを0にする。このエフェクトは1シナリオに1回まで使用できる。,,,,,EA,EA-黒星招来,,,,,,,,3
基本1-黒星の門,基本1,バロール,一般,黒星の門,コクセイノモン,3,3,メジャーアクション,シンドローム,—,—,—,2,2,ピュアブリード,,空間を高重力によって歪ませ、距離をねじ曲げるエフェクト。,このエフェクトを組み合わせた場合、「あなたと同じエンゲージにいるキャラクターを対象にできない」と記載されたエフェクトでも、同じエンゲージに対して使用できる。また、このエフェクトを組み合わせた判定のダイスを+[LV+1]個する。,,,,,EA,EA-黒星の門,,,,,,,上級-邪眼,5
基本1-アームズリンク,基本1,ブラックドッグ,一般,アームズリンク,アームスリンク,3,3,メジャーアクション,〈白兵〉〈射撃〉,対決,—,武器,2,2,—,,装備した武器と、自分の神経を直接結線することで、その武器をより効果的に扱うエフェクト。どんな武器でも、あなたにとっては体の一部と同じだ。,このエフェクトを組み合わせた判定のダイスを+LV個する。,,,,,EA,EA-アームズリンク,,,,,,,,0
基本1-イオノクラフト,基本1,ブラックドッグ,一般,イオノクラフト,イオノクラフト,5,5,マイナーアクション,—,自動成功,自身,至近,1,1,—,,イオノクラフト効果により、飛行状態で移動するエフェクト。,飛行状態で戦闘移動を行なう。その際、移動距離を+[LV×2]mする。,,,,,EA,EA-イオノクラフト,,,,,,,,0
基本1-雷の加護,基本1,ブラックドッグ,一般,雷の加護,イカスチノカコ,3,3,マイナーアクション,—,自動成功,自身,至近,2,2,—,,時間をかけて体内の電流を増幅するエフェクト。,そのメインプロセスの間、あなたが行なうブラックドッグのエフェクトを組み合わせた判定のダイスを+LV個する。,,,,,EA,EA-雷の加護,,,,,,,,0
