id,supplement,category,name,ruby,type,skill,atk,atk_int,initiative,initiative_int,armor,armor_int,dash,dash_int,procure,procure_int,stock,stock_int,exp,exp_int,rec,flavor,effect,price,rec_effect,ref_faq_id,ref_info_id,update,other_ver_id,rel_power_id,rel_weapon_id,rel_armor_id,rel_vehicle_id,rel_connection_id,rel_general_id,rel_dlois_id,cost_order
基本1-自転車,基本1,ジェネラルアイテム,自転車,シテンシャ,ヴィークル,〈運転:二輪〉,2,2,−1,,—,0,[【肉体】+40]m,,5,5,1,1,,,,ママチャリからMTBまで。愛用者は全国にいる。,,,,,,IA,IA-自転車,,,,,,,,1
基本1-バイク,基本1,ジェネラルアイテム,バイク,ハイク,ヴィークル,〈運転:二輪〉,5,5,−3,,—,0,200m,200,12,12,5,5,,,,125~400cc、いわゆる中型バイクに区分される。,,,,,,IA,IA-バイク,,,,,,,,5
基本1-乗用車,基本1,ジェネラルアイテム,乗用車,ショウヨウシャ,ヴィークル,〈運転:四輪〉,10,10,−4,,6,6,100m,100,22,22,8,8,,,,典型的な乗用車。ナンバーでも覚えない限り、特定は難しい。,,,,,,IA,IA-乗用車,,,,,,,,8
基本1-モーターボート,基本1,ジェネラルアイテム,モーターボート,モーターホート,ヴィークル,〈運転:船舶〉,7,7,−1,,—,0,100m,100,22,22,8,8,,,,エンジンが搭載されたボート。,水上でのみ使用できる。,,,,,IA,IA-モーターボート,,,,,,,,8
基本1-ヘリ,基本1,ジェネラルアイテム,ヘリ,ヘリ,ヴィークル,〈運転:航空機〉,5,5,−3,,—,0,100m,100,35,35,20,20,,,,民間用のヘリコプター。,搭乗している間、飛行状態となる。,,,,,IA,IA-ヘリ,,,,,,,,20
基本1-SUV,基本1,ジェネラルアイテム,SUV,SUV,ヴィークル,〈運転:四輪〉,15,15,−5,,7,7,80m,80,36,36,24,24,,,,悪路踏破性が高い四輪駆動車。舗装されていない道でも、どんどん入っていける。,,,,,,IA,IA-SUV,,,,,,,,24
基本2-大型バイク,基本2,ジェネラルアイテム,大型バイク,オオカタハイク,ヴィークル,〈運転:二輪〉,12,12,−5,,—,0,250m,250,25,25,15,15,,,,400ccを超えるバイク。燃費が悪い。,,,,,,IA,IA-大型バイク,,,,,,,,15
基本2-貨物自動車,基本2,ジェネラルアイテム,貨物自動車,カモツシトウシャ,ヴィークル,〈運転:四輪〉,12,12,−6,,6,6,100m,100,30,30,20,20,,,,いわゆるトラック。中型、大型になると専用の免許が必要。,,,,,,IA,IA-貨物自動車,,,,,,,,20
基本2-高級車,基本2,ジェネラルアイテム,高級車,コウキュウシャ,ヴィークル,〈運転:四輪〉,10,10,−4,,8,8,150m,150,35,35,25,25,,,,リムジンのような高級車両。,,,,,,IA,IA-高級車,,,,,,,,25
基本2-モーフィングバイク,基本2,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングバイク,モーフィンクハイク,ヴィークル,〈運転:二輪〉,8,8,0,0,—,0,250m,250,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した二輪車。細かい外見は作成者の思いのままである。,,,,,,EA IA,EA-モーフィングバイク IA-モーフィングバイク,基本2-ヴィークルモーフィング,,,,,,,999
基本2-モーフィングカー,基本2,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングカー,モーフィンクカー,ヴィークル,〈運転:四輪〉,10,10,−2,,8,8,100m,100,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した乗用車。細かい外見は作成者の思いのままである。,,,,,,EA IA,EA-モーフィングカー IA-モーフィングカー,基本2-ヴィークルモーフィング,,,,,,,999
基本2-モーフィングヘリ,基本2,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングヘリ,モーフィンクヘリ,ヴィークル,〈運転:航空機〉,7,7,0,0,—,0,100m,100,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出したヘリコプター。細かい外見は作成者の思いのままである。,搭乗している間、飛行状態となる。,,,,,EA IA,EA-モーフィングヘリ IA-モーフィングヘリ,基本2-ヴィークルモーフィング,,,,,,,999
基本2-モーフィングボート,基本2,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングボート,モーフィンクホート,ヴィークル,〈運転:船舶〉,9,9,0,0,—,0,150m,150,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出したモーターボート。細かい外見は作成者の思いのままである。,水上でのみ使用できる。,,,,,EA IA,EA-モーフィングボート IA-モーフィングボート,基本2-ヴィークルモーフィング,,,,,,,999
基本2-モーフィングバイクII,基本2,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングバイクII,モーフィングバイクII,ヴィークル,〈運転:二輪〉,11,11,0,0,—,0,300m,300,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した、高性能の二輪車。,《ヴィークルモーフィング》が3レベル以上の時のみ作成できる。細かい外見は作成者の思いのままである。あなたの《ヴィークルモーフィング》が3レベル以上の時のみ作成できる。,,,,,EA IA,EA-モーフィングバイクII IA-モーフィングバイクII,基本2-ヴィークルモーフィング,,,,,,,999
基本2-モーフィングカーII,基本2,エフェクトアイテム:ヴィークルモーフィング専用アイテム,モーフィングカーII,モーフィングカーII,ヴィークル,〈運転:四輪〉,12,12,−2,,12,12,150m,150,購入不可,,不可,,,,,《ヴィークルモーフィング》で作り出した高性能の乗用車。細かい外見は作成者の思いのままである。,《ヴィークルモーフィング》が3レベル以上の時のみ作成できる。,,,,,EA IA,EA-モーフィングカーII IA-モーフィングカーII,基本2-ヴィークルモーフィング,,,,,,,999
