id,supplement,category,name,ruby,type,skill,acc,acc_int,atk,atk_int,guard,guard_int,rng,rng_int,procure,procure_int,stock,stock_int,exp,exp_int,rec,flavor,effect,price,rec_effect,ref_faq_id,ref_info_id,refed_power_id,refed_armor_id,refed_general_id,update,other_ver_id,rel_power_id,rel_weapon_id,rel_armor_id,rel_vehicle_id,rel_connection_id,rel_general_id,rel_dlois_id,type_order,cost_order
基本1-赫き剣,基本1,クリエイトアイテム:ブラム=ストーカー,赫き剣,アカキケン,白兵,〈白兵〉,0,0,[消費したHP+2],,0,0,至近,0,購入不可,,不可,,,,,血液から白兵戦用の武器を製作するエフェクト。形状はあなたの思いのままである。,使用時に[LV×2]以下の任意のHPを消費する。そのシーンの間、あなたは以下のデータの武器を作成し、装備する。,,,,,基本1-赫き剣,,,EA IA,,,,,,,,,0,999
基本1-破壊の爪,基本1,クリエイトアイテム:キュマイラ,破壊の爪,ハカイノツメ,白兵,〈白兵〉,0,0,[LV+8],,1,1,至近,0,購入不可,,不可,,,,,あなたの腕を鋭い鉤爪へと変化させるエフェクト。,そのシーンの間、あなたの素手のデータを以下のように変更する。,,,,,基本1-破壊の爪,,,EA IA,,,,,,,,,0,999
基本1-骨の銃,基本1,クリエイトアイテム:エグザイル,骨の銃,ホネノシュウ,射撃,〈射撃〉,−1,-1,[LV+5],,—,0,20m,20,購入不可,,不可,,,,,骨を弾丸とする銃を、体内で作り出すエフェクト。,そのシーンの間、あなたは以下のデータの武器を作成し、装備する。,,,,,基本1-骨の銃,,,EA IA,,,,,,,,,2,999
基本1-骨の剣,基本1,クリエイトアイテム:エグザイル,骨の剣,ホネノツルキ,白兵,〈白兵〉,−1,-1,[LV+5],,6,6,至近,0,購入不可,,不可,,,,,骨の形状を変化させ、白兵用の武器に仕立て上げるエフェクト。,そのシーンの間、あなたの素手のデータを以下のように変更する。,,,,,基本1-骨の剣,,,EA IA,,,,,,,,,0,999
基本1-インフィニティウェポン,基本1,クリエイトアイテム:モルフェウス,インフィニティウェポン,インフィニティウェホン,白兵,〈白兵〉,0,0,[LV+7],,3,3,至近,0,購入不可,,不可,,,,,物質を変換して、白兵戦用の武器を製作するエフェクト。その形状はあなたの思いのままである。,そのシーンの間、以下のデータの武器を作成し、装備する。,,,,,基本1-インフィニティウェポン,,,EA IA,,,,,,,,,0,999
基本1-シールドクリエイト,基本1,クリエイトアイテム:モルフェウス,シールドクリエイト,シールトクリエイト,白兵,〈白兵〉,0,0,0,0,[LV×2+4],,至近,0,購入不可,,不可,,,,,物質を変換して、盾を製作するエフェクト。その形状はあなたの思いのままである。,そのシーンの間、以下のデータの武器を作成し、装備する。,,,,,基本1-シールドクリエイト,,,EA IA,,,,,,,,,0,999
基本1-ハンドレッドガンズ,基本1,クリエイトアイテム:モルフェウス,ハンドレッドガンズ,ハントレットカンス,射撃,〈射撃〉,0,0,[LV+4],,—,0,30m,30,購入不可,,不可,,,,,物質を変換して、射撃戦用の武器を製作するエフェクト。その形状はあなたの思いのままである。,そのシーンの間、以下のデータの武器を作成し、装備する。,,,,,基本1-ハンドレッドガンズ,,,EA IA,,,,,,,,,2,999
基本1-氷炎の剣,基本1,クリエイトアイテム:サラマンダー,氷炎の剣,ヒョウエンノケン,白兵,〈白兵〉,−2,-2,[LV+6],,6,6,至近,0,購入不可,,不可,,,,,大気中の水分を凍らせてあるいは炎をプラズマ誘導して形にして、武器を手の中に生み出すエフェクト。形状はあなたが自在に決めてよい。,そのシーンの間、以下のデータの武器を作成し、装備する。,,,,,基本1-氷炎の剣,,,EA IA,,,,,,,,,0,999
基本1-素手,基本1,ジェネラルアイテム,素手,ステ,白兵,〈白兵〉,0,0,−5,-5,0,0,至近,0,購入不可,,—,0,,,,素手を武器として使用した時のデータとして扱う。,,,,,,,,,IA,IA-素手,基本1-漆黒の拳 基本1-渇きの主 基本1-完全獣化 基本1-破壊の爪 基本1-剛身獣化 基本1-骨の剣 基本2-サイバーアーム 基本2-一角鬼 基本2-銘なき刃 基本2-白熱 基本2-オリジン:アニマル IC-暴食の神蛇 IC-血の祝福 EA-漆黒の拳 EA-縮退機関 EA-サイバーアーム EA-渇きの主 EA-血の祝福 EA-滅びのかぎ爪 EA-一角鬼 EA-完全獣化 EA-破壊の爪 EA-銘なき刃 EA-剛身獣化 EA-骨の剣 EA-エアロドライブ EA-白熱 EA-無形の爪牙 EA-暴食の神蛇 EA-オリジン:アニマル HR-蹂躙する蹄 HR-崩壊の鼓動 RW-餓狼の爪 RW-巨獣の爪牙 RW-強靭骨格 RW-死神の手 BC-シャイニングアーム BC-漆黒の波濤 BC-歴戦の獣牙 BC-ラバーアームズ BC-死招きの爪 BC-大裁断 BC-毒蛇,,RW-アーマメントベルト,,,上級-ダメージグローブ 上級-完全義体 上級-禍々しき木の実 上級-蠱毒の壷 PE-肉体改造 PE-死神の手袋 PE-ゴールドビースト UG-ヘルズウォール RU-オーヴァード空手 RU-オーヴァード猫足 LM-特殊装甲義肢 NC-シャープフィン,,0,-1
基本1-ナックルダスター,基本1,ジェネラルアイテム,ナックルダスター,ナックルタスター,白兵,〈白兵〉,0,0,1,1,0,0,至近,0,4,4,1,1,,,,指にはめて拳の攻撃力を上げる武器。握りこんで使用しないと自身の拳を痛める。,,,,,,,,,IA,IA-ナックルダスター,,,,,,,,0,1
基本1-ナイフ,基本1,ジェネラルアイテム,ナイフ,ナイフ,白兵/射撃,〈白兵〉/〈射撃〉,−1,-1,2,2,0,0,至近/10m,10,6,6,2,2,,,,戦闘用のナイフ。,種別/射程の右側が射撃として使用した場合のデータ。,,,,,,,,IA,IA-ナイフ,,,,,,,,1,2
基本1-伸縮性警棒,基本1,ジェネラルアイテム,伸縮性警棒,シンシュクセイケイホウ,白兵,〈白兵〉,0,0,2,2,0,0,至近,0,5,5,2,2,,,,伸縮式の金属製護身用武器。携帯性に優れる。,この武器はオートアクションでいつでも装備できる。,,,,,,,,IA,IA-伸縮性警棒,,,,,,,,0,2
基本1-木刀,基本1,ジェネラルアイテム,木刀,ホクトウ,白兵,〈白兵〉,−1,-1,3,3,2,2,至近,0,5,5,3,3,,,,刀状の木製武器。達人が使用すれば恐るべき凶器になる。,,,,,,,,,IA,IA-木刀,,,,,,,,0,3
